Id,SalePrice
1461,119862.8
1462,154439.0
1463,185445.0
1464,199366.8
1465,201100.6
1466,169974.0
1467,176463.6
1468,160372.8
1469,196197.7
1470,120195.6
1471,178378.5
1472,96125.9
1473,94568.1
1474,142187.5
1475,104225.9
1476,359834.7
1477,251007.9
1478,282936.8
1479,284497.9
1480,480535.7
1481,346571.3
1482,217290.9
1483,181474.4
1484,163530.6
1485,193781.7
1486,192596.5
1487,352271.7
1488,245289.8
1489,190423.7
1490,248410.9
1491,194662.4
1492,96253.1
1493,187273.8
1494,299162.4
1495,289850.1
1496,237759.2
1497,180810.1
1498,177658.2
1499,167762.4
1500,156479.0
1501,175919.5
1502,141693.9
1503,298648.4
1504,242279.3
1505,226791.7
1506,189500.7
1507,243070.7
1508,201111.1
1509,159595.1
1510,144392.7
1511,156356.5
1512,172725.4
1513,146835.8
1514,155569.1
1515,191623.4
1516,155633.7
1517,173669.4
1518,133702.9
1519,205444.0
1520,125629.1
1521,129425.6
1522,181319.5
1523,111872.4
1524,126105.8
1525,117839.5
1526,109511.5
1527,110243.8
1528,134250.1
1529,153139.3
1530,187069.7
1531,109054.4
1532,97596.4
1533,147898.7
1534,126992.8
1535,143769.2
1536,107662.0
1537,57159.5
1538,148751.6
1539,190162.6
1540,90476.1
1541,143525.5
1542,144231.4
1543,182231.4
1544,88878.4
1545,116435.8
1546,141577.1
1547,133553.2
1548,140729.8
1549,120064.2
1550,135584.7
1551,107400.8
1552,135880.5
1553,147063.2
1554,114374.1
1555,165474.9
1556,82375.8
1557,109641.5
1558,102227.7
1559,63897.2
1560,126490.7
1561,125611.4
1562,129294.6
1563,118796.0
1564,159324.8
1565,155002.9
1566,246622.0
1567,78313.5
1568,240409.8
1569,130396.8
1570,137978.8
1571,118471.1
1572,142134.0
1573,231393.5
1574,115022.4
1575,238003.8
1576,243620.3
1577,179745.2
1578,149299.6
1579,153119.5
1580,197759.2
1581,157153.3
1582,127052.0
1583,285189.4
1584,217673.5
1585,135317.4
1586,68958.4
1587,109560.0
1588,150877.9
1589,96150.4
1590,130326.4
1591,93362.1
1592,116734.9
1593,128858.5
1594,123638.2
1595,102060.2
1596,215317.2
1597,201329.8
1598,225651.2
1599,169352.1
1600,161203.8
1601,65099.3
1602,116212.3
1603,75387.3
1604,263225.0
1605,235718.3
1606,162487.2
1607,178699.3
1608,219995.6
1609,179563.9
1610,152200.0
1611,138429.6
1612,172114.6
1613,164566.9
1614,125166.7
1615,93565.5
1616,79111.4
1617,93465.8
1618,129350.0
1619,138079.0
1620,140632.3
1621,133045.8
1622,141225.0
1623,255314.4
1624,209606.5
1625,117457.9
1626,168960.0
1627,196063.1
1628,275928.4
1629,181646.1
1630,346608.7
1631,232260.7
1632,248464.6
1633,175969.7
1634,187699.5
1635,172258.0
1636,149794.4
1637,204780.3
1638,176868.1
1639,186353.7
1640,244447.9
1641,183321.5
1642,237309.2
1643,217562.3
1644,244496.1
1645,189200.2
1646,156843.0
1647,158579.6
1648,128127.7
1649,141854.2
1650,112950.7
1651,119208.3
1652,97761.2
1653,99164.3
1654,142636.0
1655,125373.0
1656,139205.0
1657,147983.8
1658,147105.8
1659,114977.3
1660,154271.9
1661,421610.9
1662,376090.3
1663,367639.0
1664,453796.3
1665,303133.6
1666,340920.1
1667,375108.5
1668,346782.0
1669,302115.2
1670,347325.3
1671,268774.7
1672,393923.7
1673,292234.6
1674,241030.6
1675,201081.0
1676,197026.2
1677,224127.1
1678,458847.7
1679,379137.8
1680,322915.4
1681,244763.9
1682,328622.8
1683,186903.1
1684,175370.4
1685,172944.2
1686,170275.7
